framework,scenario,concurrency,repetition,requests,success,error_rate,elapsed_s_est,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
lmdeploy_tp2,saturation_512_256,4,1,192,192,0.0,189.20438463473693,1.0147756373123173,259.8248454701746,779.3899717740811,3928.922115592286,3945.311502646655,3948.633701065555,57.558056665584445,66.70163723174483,70.39209611248226,256.0416666666667,
lmdeploy_tp2,saturation_512_256,4,2,192,192,0.0,188.83355346973985,1.0167684528097787,260.36686328565406,780.9523111242607,3927.0262815989554,3945.2248219167814,3957.5658535258844,46.36909649707377,65.66192333120853,76.1016912944615,256.0729166666667,
lmdeploy_tp2,saturation_512_256,4,3,192,192,0.0,189.16060458077118,1.0150105008678825,259.85854776125393,779.5439242056098,3929.09194692038,3947.4322627065703,3955.573977683671,57.482620468363166,68.39246221352367,78.5133486846462,256.015625,
lmdeploy_tp2,saturation_512_256,8,1,192,192,0.0,98.43337497115135,1.950557928713416,499.37330721827067,1498.0589667195397,4081.6509891301394,4117.148278537206,4129.887148914859,76.27383153885603,109.88551310729233,182.89645638782534,256.015625,
lmdeploy_tp2,saturation_512_256,8,2,192,192,0.0,98.1523149786517,1.956143368006759,500.8440199366889,1502.3894243561494,4077.0860526245087,4106.030627549626,4123.41923060827,60.66237180493772,89.93413383141159,110.97989744972439,256.0364583333333,
lmdeploy_tp2,saturation_512_256,8,3,192,192,0.0,98.31396319717169,1.9529270691177212,499.99001567474323,1499.8886750630163,4074.8084124643356,4108.714149985462,4125.160574926995,51.33309890516102,91.03269691113383,104.72586285322907,256.0208333333333,
lmdeploy_tp2,saturation_512_256,16,1,192,192,0.0,53.05127103300765,3.6191404326682517,926.6130489015933,2779.6129504277383,4390.269926050678,4452.641534432769,4487.433817614801,72.0853260718286,160.02007904462513,181.38547211885452,256.03125,
lmdeploy_tp2,saturation_512_256,16,2,192,192,0.0,53.145968997851014,3.6126916795470154,924.8114377590407,2774.5095776871126,4386.101783486083,4463.261967548169,4486.2652648752555,77.6166501455009,149.02547404635698,172.28568341117352,255.98958333333334,
lmdeploy_tp2,saturation_512_256,16,3,192,192,0.0,53.22433517035097,3.607372443178118,923.5437106480229,2770.518401555219,4385.229862295091,4463.673288794234,4601.6081563336775,73.94567946903408,178.0645510181784,262.57423295173794,256.015625,
lmdeploy_tp2,saturation_512_256,32,1,192,192,0.0,32.682922311127186,5.874627677789753,1504.3024467631938,4512.111817791547,5388.221285305917,5546.424565883353,5597.94311190024,177.43771709501743,316.4591777371242,354.0512984851376,256.0677083333333,
lmdeploy_tp2,saturation_512_256,32,2,192,192,0.0,32.66479900898412,5.877887077988521,1505.1983018930293,4514.676485823152,5373.744441429153,5547.027444373816,5578.346670125611,177.08568298257887,314.6137909730895,350.29445964843035,256.078125,
lmdeploy_tp2,saturation_512_256,32,3,192,192,0.0,32.81207531085238,5.851504306906709,1498.2593918325038,4494.229596968739,5391.884644515812,5514.993391605094,5543.475727168843,201.5332190785557,365.5687124701217,391.4359681494534,256.046875,
lmdeploy_tp2,saturation_512_256,48,1,192,192,0.0,24.756243109237403,7.755619427099511,1985.7617241469372,5956.6388708218865,6072.954369010404,6322.231607674621,6381.327224378474,261.5338789764792,499.16144753806293,557.0201850822197,256.0416666666667,
lmdeploy_tp2,saturation_512_256,48,2,192,192,0.0,24.406746020074934,7.866677509655608,2014.0743038653163,6041.813188808987,6014.749008230865,6264.543735980988,6406.7985756881535,250.3342239651829,480.6132623460143,615.7012139400467,256.0260416666667,
lmdeploy_tp2,saturation_512_256,48,3,192,192,0.0,23.968191845808178,8.010616788916394,2051.176839549462,6152.612635474656,5847.136825323105,6140.256580105051,6208.831506287679,238.2078154478222,611.8330433731896,700.2224916499108,256.0572916666667,
lmdeploy_tp2,saturation_512_256,64,1,192,192,0.0,21.237614864949137,9.040563228071319,2314.5254451866963,6943.293817959212,6905.659318435937,7390.106423478573,7487.5374204991385,483.0243419855833,916.9533529784528,1025.8191336225718,256.015625,
lmdeploy_tp2,saturation_512_256,64,2,192,192,0.0,19.761010706890374,9.716102220067743,2487.676401230782,7462.320737905467,6361.651293933392,7027.477641077712,7251.233606333844,394.28032259456813,1019.8349498910825,1200.0267268111934,256.0364583333333,
lmdeploy_tp2,saturation_512_256,64,3,192,192,0.0,23.55263614235446,8.151953727792211,2086.9850704994706,6260.785379129083,7128.436093218625,9828.033536113799,9866.628536703065,450.61483490280807,945.4795566387475,1017.5829549552873,256.0104166666667,
lmdeploy_tp2,long_context_4096_256,1,1,48,48,0.0,231.7906873500906,0.20708338436178006,53.00903215944149,901.2225745052926,4391.91402005963,6502.082486613654,7386.186522804202,38.37327682413161,41.00783609319478,552.1076834946871,255.97916666666666,
lmdeploy_tp2,long_context_4096_256,1,2,48,48,0.0,231.11653049383312,0.20768743757721295,53.1766376629989,903.8643819792632,4393.447189591825,6499.050971842369,7168.436956009828,38.28338417224586,40.697030583396554,41.253847484476864,256.0416666666667,
lmdeploy_tp2,long_context_4096_256,1,3,48,48,0.0,226.07385039096698,0.21232000037593862,54.36276676292262,924.0254883027671,4395.5987363588065,4538.109144032933,6997.860866324045,38.49545307457447,40.599493752233684,41.625595232471824,256.0416666666667,
lmdeploy_tp2,long_context_4096_256,4,1,48,48,0.0,57.79416087595746,0.8305337299216354,212.65124043201874,3614.5173981910375,4467.363665346056,4730.52073023282,4799.672324210405,71.27041788771749,454.2310927994549,575.3443097835407,256.0416666666667,
lmdeploy_tp2,long_context_4096_256,4,2,48,48,0.0,56.68732307013124,0.8467501621238378,216.87388527396794,3685.1625493332076,4387.2671239078045,4735.138577851467,4805.234814630821,73.16222717054188,447.2732779802754,567.107856455259,256.125,
lmdeploy_tp2,long_context_4096_256,4,3,48,48,0.0,55.567469905130565,0.8638147477642876,221.17256770881446,3759.357774551336,4337.931671645492,4618.305692379363,4787.732356623746,70.79053553752601,438.6053299764171,554.8204957507551,256.0416666666667,
lmdeploy_tp2,long_context_4096_256,8,1,48,48,0.0,35.412666658870876,1.35544720374725,347.19215354317583,5899.103900091912,5144.58614657633,5896.676724683493,6081.316384868696,491.0780335776508,1193.4735880000517,1398.3669814933094,256.1458333333333,
lmdeploy_tp2,long_context_4096_256,8,2,48,48,0.0,35.33958143694326,1.358250382383471,347.7969885390675,5911.190554781765,5154.540231451392,5846.596140740439,6028.024826832116,456.9760044105351,1169.8037426918745,1303.6018955288455,256.0625,
lmdeploy_tp2,long_context_4096_256,8,3,48,48,0.0,35.534387866966426,1.35080418944326,345.8340142514213,5878.727974211015,5150.321269407868,6036.7722497088835,6180.785750737414,460.9858989715576,1202.61351284571,1369.5584658021107,256.0208333333333,
lmdeploy_tp2,long_context_8192_256,1,1,24,24,0.0,143.31256213597953,0.16746612887450882,42.86435123650448,1414.6840791781526,5629.3118027970195,5640.596370003186,5641.246716678143,1221.7760777566582,1233.656651736237,1234.4446807866916,255.95833333333334,
lmdeploy_tp2,long_context_8192_256,1,2,24,24,0.0,147.01421551732346,0.16324951920837855,41.79187691734491,1379.0707197026788,5632.637317059562,5638.141476036981,5640.468851635233,1225.902707548812,1233.2247875863686,1236.2165636150166,256,
